id,comments
4463660048795090,374
4463654965282709,536
4463651064510001,411
4463592097049772,321
4463567145036958,581
4463540762580594,174
4463536837101504,419
4463519691408435,102
4463487659430130,209
4463478586935337,74
4463323477695718,56
4463295786012860,513
4463251792629970,455
4463237950736729,431
4463229067090389,380
4463216887354612,558
4463199845588369,221
4463191759370177,369
4463177922284365,192
4463163933973952,453
4463151452511586,213
4463144900171630,496
4463124013260138,341
4462941673696115,559
4462912041003725,237
4462891639538813,306
4462876590759602,223
4462852792111701,452
4462849856856064,63
4462833058317596,560
4462797658239048,192
4462781178483449,43
4462770399135415,117
4462735347844223,133
4462722403546879,214
4462704796430338,276
4462701965640682,207
4462559816031141,190
4462541378232485,399
4462511040634453,263
4462492967340805,197
4462482686767232,498
4462472230927420,163
4462455168447615,248
4462427124997716,297
4462411417258853,404
4462401950563822,491
4462385366598127,193
4462371240101788,284
4462171482599781,333
4462154701039830,493
4462139571688118,207
4462122387978324,409
4462104751343321,269
4462065979029154,362
4462016233836001,368
4461829839494838,453
4461804828426935,318
4461787354786643,75
4461754971178524,132
4461741028733248,296
4461727552623729,119
4461716698533768,101
4461702970570476,148
4461693017410277,391
4461681968911634,202
4461677346984337,97
4461651347101214,364
4461631079643846,332
4461473763941368,262
4461460015515470,327
4461443938237887,236
4461411390371468,216
4461395443200917,154
4461380851698550,134
4461357086966450,234
4461336719105512,168
4461320302272704,108
4461302501676938,221
4461283866485805,210
4461267740122207,365
4461112914958510,475
4461098650697456,318
4461071769485972,91
4461055021841517,283
4461032355328489,136
4461012940486179,142
4460993533143385,281
4460975899568560,283
4460960838003646,184
4460938097174240,170
4460921851850566,317
4460907499610678,315
4460756592775004,191
4460740498909432,532
4460726560895147,243
4460713357158392,160
4460694050730832,527
4460691295624571,331
4460683330404996,129
4460668616505423,29
4460659577893914,157
4460644067510708,545
4460623020565400,103
4460603085637423,112
4460586207769140,186
4460578401636958,345
4460559304550465,297
4460544528928242,285
4460387203891754,290
4460371303276986,346
4460355096446726,232
4460336931837933,243
4460323769579287,230
4460307973876902,178
4460290949516270,80
4460274105258919,170
4460255305595859,244
4460240160384997,351
4460225375295504,91
4460209122547097,495
4460193863578543,129
4460183516133754,532
4460036925334129,175
4460018365139164,539
4460002770921843,303
4459981501366861,220
4459962892127838,250
4459947255096820,482
4459929673260404,383
4459887809244319,367
4459869677653833,63
4459866066753043,287
4459851948402409,270
4459832968578773,135
4459819420992828,294
4459649078109700,197
4459628584245907,374
4459611085686349,355
4459600079779805,305
4459558644627266,117
4459532636329396,212
4459510632102404,161
4459474523384244,244
4459456412445074,118
4459299860267971,572
4459282591995283,132
4459257593931673,185
4459249247607528,135
4459232583666636,378
4459213650413047,103
4459197976180196,127
4459185451985705,132
4459170093246368,248
4459154951075653,277
4459135674332217,353
4459130356037368,228
4459110898335894,534
4459094372687647,136
4458939078655616,173
4458923417217115,137
4458902382510654,156
4458885265551057,333
4458865779386744,70
4458857826501612,164
4458837043899597,166
4458799966362463,513
4458768069095019,170
4458752424317745,296
4458741875578059,180
4458731993826174,255
4458590733362735,170
4458573616847330,204
4458551520974255,147
4458537306406662,172
4458515299092442,189
4458470939658648,134
4458450169761895,166
4458434692520201,285
4458425319057703,172
4458409153760202,169
4458390602343168,149
4458389629294006,279
4458376748238558,160
4458215926313571,160
4458194174426683,128
4458176969641168,242
4458160733167386,571
4458151233518288,556
4458136012582375,75
4458109390859389,111
4458083806259362,151
4458067636365841,363
4458052545559966,353
4458015828342760,465
4458010342142273,296
4457853689113774,556
4457835440114517,584
4457821951063992,228
4457798757009901,243
4457780766975662,115
4457766758369015,173
4457729857144366,142
4457712668164320,124
